Manchester Magic,15,0,0,1,1638,463,1175,45
Oldham Titans,13,3,0,0.813,1330,742,588,42
Sheffield Junior Saints,11,3,0,0.786,988,757,231,36
Stockport Falcons,10,5,0,0.667,1171,896,275,35
Childwall Academy,10,5,0,0.667,968,828,140,35
Cheshire Panthers,7,6,0,0.538,820,900,-80,27
Manchester Magic II,5,11,0,0.313,818,1144,-326,26
Rossendale Raptors,4,11,0,0.267,762,1033,-271,23
Cheshire Wire White,4,9,0,0.308,701,884,-183,21
Oldham Titans II,1,13,0,0.071,451,1254,-803,16
Cheshire Wire Green,0,14,0,0,414,1160,-746,14
